,Name der Klinik,Ort,Straße und Hausnummer,PLZ,Geburten gesamt 2022,Anzahl Kaiserschnitte 2022,Kaiserschnitt % 2022,IK,Standortnummer,Latitude,Longitude
581,Oberlausitz-Kliniken gGmbH/ Krankenhaus Bautzen,Bautzen,Am Stadtwall 3,02625,729,227,31,261401041,771695000,51.1845616,14.4320559
582,Universitätsklinikum Leipzig Anstalt öffentlichen Rechts,Leipzig,Liebigstraße 18,04103,2213,657,30,261401052,771392000,51.3313102,12.384855
583,Sana Kliniken Leipziger Land GmbH - Klinikum Borna,Borna,Rudolf-Virchow-Straße 2,04552,875,217,25,261401063,771016000,51.1346458,12.505405
584,St. Elisabeth-Krankenhaus Leipzig,Leipzig,Biedermannstraße 84,04277,2234,497,22,261401212,771805000,51.3030458,12.3788189
585,Städtisches Klinikum Görlitz gGmbH,Görlitz,Girbigsdorfer Straße 1-3,02828,595,193,32,261401267,772378000,51.1622911,14.9702723
586,Helios Klinikum Aue,Aue,Gartenstraße  6,08280,548,196,36,261401381,773446000,50.5917832,12.7175633
587,Herzzentrum Leipzig GmbH,Leipzig,Strümpellstraße 39,04289,Datenschutz,Datenschutz,Datenschutz,261401405,771136000,51.3076931,12.4377123
588,Klinikum Chemnitz gGmbH,Chemnitz,Flemmingstraße 2,09116,1334,336,25,261401416,772794000,50.8447689,12.8861281
589,Kliniken Erlabrunn GmbH,Breitenbrunn,Am Märzenberg 1 ,08359,292,85,29,261410020,771591000,50.4739508,12.7112792
590,KH Mittweida,Mittweida,Hainichener Straße 4-6,09648,493,109,22,261410155,772815000,50.9809601,12.9845112
591,Deutsches Rotes Kreuz Krankenhaus Chemnitz-Rabenstein,Chemnitz,Unritzstraße 23,09117,1607,351,22,261410166,771039000,50.8205525,12.8263317
592,Helios Vogtland-Klinikum Plauen,Plauen,Röntgenstraße 2,08529,805,267,33,261410315,771537000,50.4910978,12.1546854
593,"ELBLANDKLINIKEN Stiftung & Co. KG, ELBLANDKLINIKUM Meißen",Meißen,Nassauweg 7,01662,465,116,25,261420055,771831000,51.1732859,13.5062254
594,Kreiskrankenhaus Johann Kentmann gGmbH,Torgau,Christianistraße 1,04860,388,99,26,261430013,771248000,51.5615181,12.9843482
595,HELIOS Klinik Schkeuditz GmbH,Schkeuditz,Leipziger Straße  45,04435,321,99,31,261430024,771525000,51.3943344,12.230264
596,Kreiskrankenhaus Delitszch GmbH,Eilenburg,Wilhelm-Grune-Straße 5-8,04838,297,60,20,261470034,771664000,51.4604669,12.6211978
597,Johanniter GmbH - Zweigniederlassung Stendal - Johanniter Krankenhaus Stendal,Stendal,Wendstraße  31,39576,677,214,32,261500030,773125000,52.611217,11.8542122
598,Uniklinik Magdeburg ,Magdeburg ,Gerhart-Hauptmann-Straße  35,39108,1231,367,30,261500289,773666000,52.1294618,11.6177367
599,Altmark Klinikum Gardelegen,Gardelegen,Ernst-von-Bergmann-Straße 22,39638,164,56,34,261500290,773354000,52.5223838,11.381898
600,Altmark Klinikum Salzwedel,Salzwedel,Brunnenstraße 1,29410,396,77,19,261500290,773355000,52.8561189,11.1453114
601,AMEOS Klinikum Aschersleben,Aschersleben,Eislebener Str. 7,06449,404,148,37,261500358,772968000,51.7462195,11.4579276
602,Carl-von-Basedow-Klinikum Saalekreis gGmbH,Merseburg,Weiße Mauer  52,06217,764,269,35,261500461,772911000,51.3663738,11.9938967
603,Helios Klinik Köthen GmbH,Köthen,Hallesche Straße 29,06366,422,109,26,261500586,773269000,51.7467898,11.9727226
604,KLINIKUM MAGDEBURG gemeinnützige GmbH,Magdeburg,Birkenallee 34,39130,1382,407,29,261500597,773244000,52.1586493,11.5794531
605,Paul Gerhardt Diakonie Krankenhaus und Pflege GmbH,Lutherstadt Wittenberg,Paul-Gerhardt-Straße 42-45,06886,660,206,31,261500611,773668000,51.8703045,12.6567485
606,Krankenhaus St. Elisabeth und St. Barbara Halle (Saale) GmbH / St. Elisabeth - Mauerstraße,Halle,Mauerstraße 5,06110,1745,480,28,261500677,772512000,51.4774685,11.968023
607,Universitätsklinikum Halle (Saale),Halle,Ernst-Grube-Straße 40,06120,1191,444,37,261500702,773513000,51.5019795,11.9366516
608,Helios Klinik Jerichower Land,Burg,August-Bebel-Straße 55,39288,352,132,38,261500735,772243000,52.2660431,11.833949
609,Städtisches Klinikum Dessau,Dessau-Roßlau,Auenweg 38,06847,838,318,38,261500757,771701000,51.8159148,12.1976598
610,HELIOS Klinik Sangerhausen,Sangerhausen,Am Beinschuh 2,06526,568,157,28,261500882,771960000,51.4731979,11.3100727
611,"Harzklinikum Dorothea Christiane Erxleben, Standort Quedlinburg",Quedlinburg,Ditfurter Weg 24,06484,87,28,32,261500984,771011000,51.7949248,11.1635371
612,"Harzklinikum Dorothea Christiane Erxleben, Standort Wernigerode",Wernigerode,Ilsenburger Straße 15,38855,850,306,36,261500984,771012000,51.8356769,10.7762577
613,Krankenhaus St. Marienstift Magdeburg GmbH,Magdeburg,Harsdorfer Straße 30,39110,944,229,24,261530183,773310000,52.1371517,11.6005955
614,AMEOS Klinikum Halberstadt,Halberstadt,Gleimstraße 5,38820,440,174,40,261530252,773419000,51.9013165,11.0543212
615,Klinikum Bad Salzungen GmbH,Bad Salzungen,Lindigallee 3,36433,399,112,28,261600042,772539000,50.8032602,10.2185891
616,Thüringen-Kliniken &quot;Georgius Agricola&quot; GmbH,Saalfeld,Rainweg 68,07318,736,208,28,261600188,772621000,50.6456452,11.3436957
617,SRH Krankenhaus Waltershausen-Friedrichroda GmbH,Friedrichroda,Reinhardsbrunner Straße 17,99894,331,95,29,261600280,772664000,50.8609247,10.5604609
618,"Katholisches Krankenhaus ""St. Johann Nepomuk"" Erfurt",Erfurt,Haarbergstraße 72,99097,482,132,27,261600337,772251000,50.9477349,11.0842262
619,Robert-Koch-Krankenhaus Apolda GmbH,Apolda,Jenaer Straße 66,99510,590,124,21,261600382,772860000,51.0128361,11.5124558
620,Südharz Klinikum Nordhausen gGmbH,Nordhausen,Dr.-Robert-Koch-Straße 39,99734,584,201,34,261600417,771941000,51.5162705,10.7947784
621,"Hufeland Klinikum GmbH, Standort Mühlhausen",Mühlhausen,Langensalzaer Landstraße 1,99974,626,160,26,261600521,771235000,51.2015306,10.4683
622,SRH Wald-Klinikum Gera GmbH,Gera,Straße des Friedens 122,07548,813,262,32,261600543,773690000,50.8685761,12.0515681
623,Klinikum Altenburger Land GmbH,Altenburg,Am Waldessaum 10,04600,373,131,35,261600623,773479000,50.9723974,12.4410229
624,Universitätsklinikum Jena,Jena,Kastanienstraße 1,07747,1235,427,35,261600736,772874000,50.8862074,11.6158829
625,MEDINOS Kliniken des Landkreises Sonneberg GmbH,Sonneberg,Neustadter Straße  61,96515,238,77,32,261600872,771725000,50.3539322,11.1631209
626,MEDINOS Kliniken des Landkreises Sonneberg GmbH,Neuhaus,Schöne Aussicht  39,98724,Datenschutz,Datenschutz,Datenschutz,261600872,771726000,50.5111702,11.1300334
627,HELIOS Klinikum Meiningen,Meiningen,Bergstraße 3,98617,476,191,40,261600883,771095000,50.5575191,10.3971342
628,Helios Klinikum Gotha,Gotha,Heliosstraße 1,99867,523,115,22,261600894,772368000,50.9284165,10.6776104
629,SRH Zentralklinikum Suhl GmbH,Suhl,Albert-Schweitzer-Straße 2,98527,877,307,35,261600941,773357000,50.6024817,10.7098953
630,Sophien- und Hufeland-Klinikum gGmbH,Weimar,Henry-van-de-Velde-Straße 2,99425,905,276,30,261600952,771939000,50.9603339,11.3222192
631,Eichsfeld Klinikum gGmbH,Heilbad Heiligenstadt,Windische Gasse 112,37308,419,94,22,261601010,772741000,51.3763561,10.1410363
632,HELIOS Klinikum Erfurt,Erfurt,Nordhäuser Straße 74,99089,1426,460,32,261601021,771835000,50.9923519,11.0124195
633,St. Georg Klinikum Eisenach gemeinnützige GmbH,Eisenach,Mühlhäuser Straße 94-95,99817,593,224,38,261601123,772308000,50.9892638,10.3168812
634,KMG Klinikum Sömmerda,Sömmerda,Bahnhofstraße 36,99610,202,74,37,261601145,773338000,51.1622289,11.1218524
635,KMG Klinikum Sondershausen,Sondershausen,Hospitalstraße 2,99706,285,73,26,261601145,773340000,51.3736344,10.8790771
636,Ilm-Kreis-Kliniken Arnstadt-Ilmenau gGmbH,Ilmenau,Oehrenstöcker Straße 32,98693,Datenschutz,Datenschutz,Datenschutz,261601203,773583000,50.6793812,10.9184893
637,Ilm-Kreis-Kliniken Arnstadt-Ilmenau gGmbH,Arnstadt,Bärwinkelstraße 33,99310,633,175,28,261601203,773594000,50.8393775,10.9413536
